"week";"user_id.x";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66";"67";"68";"69";"70";"71";"72";"73";"74";"75";"76";"77";"78";"79";"80";"81";"82";"83";"84"
36;1;0;0;0;4;0;4;4;4;12;4;0;0;4;0;0;4;4;0;4;0;4;4;4;4;0;0;0;0;4;4;0;0;0;0;0;4;0;4;0;4;0;0;4;4;4;0;4;0;4;0;0;4;0;0;0;0;0;4;0;0;0;4;0;0;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;2;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
36;3;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
36;4;4;0;0;0;0;1;4;0;5;1;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
36;5;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
36;6;4;0;0;1;0;0;4;4;5;9;0;0;4;0;0;4;4;4;0;5;4;4;4;4;0;0;0;1;8;5;0;1;0;0;1;4;0;8;4;12;0;0;4;9;4;5;4;0;4;0;0;4;4;0;0;0;0;4;0;4;0;5;0;0;4;1;4;8;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
36;7;4;0;0;4;0;4;0;4;4;4;0;0;4;0;0;4;4;0;0;0;8;4;4;4;0;0;0;0;4;4;0;0;0;0;0;4;0;4;0;4;0;0;4;8;4;0;4;0;4;0;0;4;0;0;0;0;0;4;0;0;0;4;0;4;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;8;4;0;0;0;0;4;4;0;8;8;0;0;4;0;0;4;8;0;4;0;4;4;4;4;0;0;0;0;4;4;0;0;0;0;4;4;0;8;0;4;0;4;4;4;8;0;4;0;4;4;0;4;0;0;0;0;0;4;0;0;0;4;0;0;4;0;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;9;12;0;0;5;0;5;4;8;0;13;0;0;4;4;0;4;12;0;16;5;4;8;4;4;0;0;0;5;4;9;0;1;0;0;5;4;0;8;4;4;0;4;4;9;12;5;8;0;4;4;0;4;0;0;0;0;0;4;0;0;0;5;0;0;12;1;4;4;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
36;10;4;0;0;1;0;9;4;8;13;0;0;0;4;4;0;4;12;8;8;5;4;4;4;4;0;4;0;1;4;9;0;1;0;0;5;4;0;12;8;8;0;4;4;13;12;5;8;0;4;4;0;4;4;0;0;0;0;4;0;4;0;5;0;0;8;1;8;4;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
36;11;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
36;12;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
36;13;4;0;0;0;0;4;4;4;4;4;0;0;0;0;0;4;4;0;0;0;4;4;4;4;0;0;0;0;4;4;0;0;0;0;0;4;0;4;0;4;0;0;4;4;4;0;4;0;4;0;0;4;0;0;0;0;0;4;0;0;0;4;0;0;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;14;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;4;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;15;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
